Time: 3600.64
Lx: 12 0.183333
Ly: 40
Id TipoPieza x y ángulo
0 0 5.64286 40 180
1 1 5 1.14286 0
2 2 12 12.1429 180
3 3 12 34.6429 0
4 4 6 31.6429 0
5 5 7 0 180
6 6 12 5.14286 180
7 7 0 18.1429 0
8 8 0 33.6429 0
9 9 5 7.14286 180
10 10 6 34.6429 0
11 11 12 18.1429 180
12 12 0 12.1429 0
13 13 0 7.14286 0
14 14 0 26.1429 0
15 15 2 20.1429 0
16 16 4 18.1429 0
17 17 7 5.14286 0
18 18 6 10.1429 0
19 19 0 30.1429 0
20 20 6 35.6429 0
21 21 2 4.14286 0
22 22 8 18.1429 0
23 23 9 30.1429 180
24 24 6 32.6429 0
