Time: 3602.25
Lx: 27.2409 0.291507
Ly: 70
Id TipoPieza x y ángulo
0 0 0 4.26073 0
1 1 22.2409 7.75248 0
2 2 21.2409 40.3509 0
3 3 19.2409 62 0
4 4 10 31.5919 0
5 5 11.2409 41.5919 0
6 6 19.2409 32.3509 0
7 7 17.2409 46.3509 0
8 8 13.0803 17.7525 0
9 9 18.1172 0 0
10 10 17.2409 31.5919 0
11 11 12.9356 50.6106 0
12 12 6.63036 58 0
13 13 9.86964 0 0
14 14 22.2409 52 0
15 15 17.9934 2.75248 0
16 16 14 25.5919 0
17 17 10 8.26073 0
18 18 0 28.2607 0
19 19 4 8.26073 0
20 20 0 56.2607 0
21 21 6 30.2607 0
22 22 0 16.2607 0
23 23 0 48.2607 0
24 24 0 38.2607 0
