Time: 3601.99
Lx: 27.1744 0.289772
Ly: 70
Id TipoPieza x y ángulo
0 0 0 32 0
1 1 10.1115 33.259 0
2 2 14.6667 9.65128 0
3 3 8 10.9846 0
4 4 16.7692 42.8103 0
5 5 21.1744 0.666667 0
6 6 8 18.9846 0
7 7 16.7692 52.8103 0
8 8 14.3333 15.6513 0
9 9 13.5077 0 0
10 10 17.1744 30.8103 0
11 11 11.8654 43.3487 0
12 12 21.1744 58 0
13 13 19.1744 6.66667 0
14 14 5 49.6179 0
15 15 14 59.3487 0
16 16 2 43.259 0
17 17 10 2.98462 0
18 18 0 24 0
19 19 4 16 0
20 20 12 26.9846 0
21 21 4 0 0
22 22 15.1744 30.8103 0
23 23 0 8 0
24 24 0 59.6179 0
