Time: 3602.71
Lx: 31.4 0.38535
Ly: 70
Id TipoPieza x y ángulo
0 0 17.3239 23.792 0
1 1 26.4 12.3475 180
2 2 2.55561 23.0531 0
3 3 0 29.9 0
4 4 7.25561 26.1657 0
5 5 9.7305 19.4657 0
6 6 15.9556 36.8878 0
7 7 10 57.3 180
8 8 9.79111 0 0
9 9 31.3556 24.5588 90
10 10 10 1.98304 180
11 11 24.925 45.8 0
12 12 0 12.7657 270
13 13 18.7826 57.3 180
14 14 10 18.5483 90
15 15 27.4 60 0
16 16 21.2091 47.5878 90
17 17 25.4 13.0475 0
18 18 0 44.6 270
19 19 26.6556 32.1878 90
20 20 31.4 42.2667 90
21 21 12.7 16.7 270
22 22 0 58 0
23 23 6.7 38.6 0
24 24 12.7 60 0
