Time: 3602.56
Lx: 2060.94 0.284808
Ly: 2550
Id TipoPieza x y ángulo
0 0 1087 1476.69 180
1 0 1087 2126.79 180
2 1 316 615.222 180
3 1 2060.94 2143.71 180
4 2 397.991 614.879 0
5 2 1053.41 1 0
6 2 1387.58 281.208 0
7 2 242 339.222 180
8 3 810.536 2240 180
9 3 2060.94 768.908 180
10 4 818.679 1828.89 0
11 4 243.883 8.22177 180
12 5 1095.88 412 0
13 5 1095.88 1103.55 180
14 6 0 873.417 0
15 6 810.536 2235 0
16 7 1117.94 1897.22 0
17 7 1909.94 347.908 180
18 8 121.444 1562.69 0
19 8 1909.58 289.325 180
