Time: 3600.09
Lx: 192.677 0.640989
Ly: 104
Id TipoPieza x y ángulo
0 0 2.58054 38.4 0
1 0 2.58054 0 0
2 0 108.437 0 0
3 0 157.277 0.99457 0
4 1 33.9805 49.7021 0
5 1 33.9805 33.2 0
6 1 77.0373 32.0812 0
7 1 77.0373 16.8611 0
8 2 14.4 87 0
9 2 33.9805 0 0
10 3 68.1132 43.6 0
11 3 188.677 0 0
12 4 33.4944 65.6 0
13 4 62.3722 93 0
14 4 143.277 93 0
15 4 168.277 39.3946 0
16 5 2 93.6 0
17 5 55.7132 80.6053 0
18 5 84.7722 88.664 0
19 5 144.877 20 0
20 6 128.277 36.6922 0
21 6 163.677 67 0
22 7 82.5132 43.4812 0
23 7 97.1722 81.0101 0
