Time: 3600.73
Lx: 108 0.359509
Ly: 104
Id TipoPieza x y ángulo
0 0 66 6 0
1 0 69.1786 34.2617 0
2 0 87 0 0
3 0 36.1122 104 180
4 1 0 5 0
5 1 0 11.5962 0
6 1 25.3846 5 0
7 1 25.3846 54.75 0
8 2 0 55.7115 0
9 2 0 19.4615 0
10 3 38.3846 57.4643 0
11 3 42.3846 65 0
12 4 15 44.7115 0
13 4 46.3846 55.75 0
14 4 15 72.0962 90
15 4 15 35.8462 90
16 5 2 92.4038 0
17 5 105.076 97.15 0
18 5 105.361 44.2617 0
19 5 106 75.4551 0
20 6 46.6763 66.75 0
21 6 75.6763 66.75 0
22 7 66 19.4615 180
23 7 66.3846 48.4615 180
