Time: 3600.09
Lx: 625.5 0.270286
Ly: 1000
Id TipoPieza x y ángulo
0 0 297 180 0
1 0 345 546.5 0
2 1 0 490 0
3 1 32 842 0
4 1 345 880 0
5 1 445 880 0
6 2 257.5 228 0
7 2 345 718 0
8 3 42.5 100 0
9 3 42.5 170 0
10 3 257.5 70 0
11 3 441.5 70 0
12 4 170 558 0
13 4 580.5 296.5 0
14 4 580.5 763.5 0
15 4 580.5 374.5 0
16 4 580.5 690.5 0
17 4 580.5 853.5 0
18 5 284 1000 0
19 5 284 490 0
20 6 0 610 0
21 6 215 538 0
22 7 284 480 0
23 7 284 874 0
24 8 465.5 70 0
25 8 465.5 436.5 0
26 9 32 292.426 0
27 9 287.5 70 0
