Time: 3602.48
Lx: 628 0.273191
Ly: 1000
Id TipoPieza x y ángulo
0 0 372 856 0
1 0 144 636 90
2 1 252.261 682 0
3 1 384 636 0
4 1 508 756 90
5 1 628 756 90
6 2 240 636 90
7 2 386 245 90
8 3 4 1000 0
9 3 182.261 177.424 0
10 3 188 1000 0
11 3 182.261 668 90
12 4 326.963 868 0
13 4 478 153 0
14 4 478 30 0
15 4 519 245 0
16 4 539 124 0
17 4 539 62 0
18 5 144 920 90
19 5 240 352 270
20 6 0 177.424 0
21 6 69.6243 423.368 0
22 7 0 156 0
23 7 100 333.424 0
24 8 468 526 0
25 8 468 416 0
26 9 303 295 0
27 9 468 307 0
