Time: 3601.39
Lx: 2572.09 0.733814
Ly: 1000
Id TipoPieza x y ángulo
0 0 1174.11 200 0
1 0 1530.11 25.301 0
2 0 1530.11 291.065 0
3 1 950 436 0
4 1 2170.11 25.301 0
5 1 2170.11 877.005 0
6 1 2178 544.056 0
7 1 2472.09 25.301 0
8 1 2472.09 245.301 0
9 2 245 701.671 0
10 2 590 743.092 0
11 2 946.107 910.025 0
12 3 0 355.804 0
13 3 284 245.092 0
14 3 345 415.092 0
15 3 889 336 0
16 3 1150 514 0
17 3 1886.11 70 0
18 4 2025.11 925.301 0
19 4 2327.09 229.741 0
20 4 2340 743.477 0
21 4 2340 402.634 0
22 4 2395 564.634 0
23 4 2395 925.301 0
24 4 2527.09 465.301 0
25 4 2527.09 663.968 0
26 4 2527.09 825.968 0
27 5 1694 804 0
28 5 2078 775.065 0
29 5 2170.11 429.741 0
30 6 0 850 0
31 6 345 843.092 0
32 6 1046.11 850 0
33 7 0 156 0
34 7 568 156 0
35 7 954 156 0
36 8 629 262.025 0
37 8 690 472.025 0
38 8 1150 640 0
39 9 1246.11 904 0
40 9 1500.11 904 0
41 9 1754.11 904 0
