Time: 3604.38
Lx: 1029.87 0.335203
Ly: 1000
Id TipoPieza x y ángulo
0 0 551.87 856 0
1 0 773.87 96 0
2 0 773.87 462 0
3 1 507.87 0 0
4 1 507.87 236 0
5 1 507.87 601.349 0
6 1 607.87 601.349 0
7 1 707.87 616 0
8 1 707.87 736 0
9 2 431.857 532 0
10 2 507.87 304 0
11 2 529 1000 0
12 3 219.782 720 0
13 3 507.87 236 0
14 3 507.87 549.349 0
15 3 607.87 70 0
16 3 607.87 310 0
17 3 791.87 310 0
18 4 894.87 606 0
19 4 984.87 606 0
20 4 984.87 34 0
21 4 984.87 696 0
22 4 984.87 848 0
23 4 984.87 400 0
24 4 984.87 786 0
25 4 984.87 301 0
26 4 984.87 938 0
27 5 284 1000 0
28 5 471.782 772 0
29 5 715.87 601.349 0
30 6 127.125 128.917 0
31 6 704.727 310 0
32 6 707.87 736 90
33 7 0 156 0
34 7 156 760 270
35 7 176.857 464.143 270
36 8 807.87 310 0
37 8 807.87 794 0
38 8 807.87 684 0
39 9 607.87 70 0
40 9 807.87 904 0
41 9 807.87 0 0
