Time: 3601.18
Lx: 2169.11 0.473936
Ly: 1000
Id TipoPieza x y ángulo
0 0 0 856 0
1 0 1554.44 642 0
2 0 1554.44 498 0
3 0 1554.44 856 0
4 0 1810.44 736 0
5 1 780.444 70 0
6 1 880.444 70 0
7 1 980.444 152 0
8 1 1064.44 272 0
9 1 1309.44 602 0
10 1 1699.44 110 0
11 1 1810.44 880 0
12 1 1810.44 206 0
13 1 1872.44 616 0
14 1 1972.44 880 0
15 2 531 760 0
16 2 1064.44 760 0
17 2 1309.44 1000 0
18 2 1554.44 378 0
19 2 1554.44 950 0
20 3 102 677.525 0
21 3 102 468.814 0
22 3 672.444 70 0
23 3 980.444 70 0
24 3 1064.44 672 0
25 3 1064.44 532 0
26 3 1064.44 772 0
27 3 1186.44 462 0
28 3 1370.44 602 0
29 3 1626.44 856 0
30 4 1765.44 264 0
31 4 1827.44 674 0
32 4 1827.44 554 0
33 4 1927.44 938 0
34 4 2093.78 344 0
35 4 2093.78 158 0
36 4 2124.11 938 0
37 4 2124.11 575.667 0
38 4 2124.11 403.667 0
39 4 2124.11 220 0
40 4 2124.11 752 0
41 4 2124.11 282 0
42 4 2124.11 96 0
43 4 2124.11 814 0
44 4 2124.11 876 0
45 5 570 1000 0
46 5 570 532 0
47 5 780.444 327.081 0
48 5 1064.44 532 0
49 5 1064.44 1000 0
50 6 1164.44 92 0
51 6 1164.44 242 0
52 6 1264.44 0 0
53 6 1599.44 110 0
54 6 1599.44 348 0
55 7 0 156 0
56 7 0 833.525 0
57 7 0 329.797 0
58 7 0 624.814 0
59 7 286 156 0
60 8 1439.44 378 0
61 8 1639.44 0 0
62 8 1833.44 422 0
63 8 1833.44 96 0
64 8 1993.44 465.667 0
65 9 1364.44 0 0
66 9 1810.44 326 0
67 9 1810.44 0 0
68 9 1972.44 640 0
69 9 2015.11 0 0
