Time: 3601.46
Lx: 572 0.364325
Ly: 1000
Id TipoPieza x y ángulo
0 0 0 190 0
1 0 0 344 0
2 0 266 410.284 0
3 1 295 632.284 0
4 1 295 280.284 0
5 1 405 280.284 0
6 1 120 0 90
7 1 440.721 805.711 90
8 1 471 40 90
9 2 245 726 0
10 2 500 792.284 0
11 2 511 228 0
12 3 0 806 0
13 3 0.720779 180 0
14 3 0.720779 816 90
15 3 80.7208 816 90
16 3 160.721 816 90
17 3 240.721 802.284 90
18 4 373.147 938 0
19 4 455 915.711 0
20 4 509.431 866 0
21 4 527 779.426 0
22 4 527 707.426 0
23 4 527 563.426 0
24 4 527 635.426 0
25 4 527 938 0
26 4 527 226.142 0
