Time: 3603.89
Lx: 718 0.32478
Ly: 1000
Id TipoPieza x y ángulo
0 0 70 0 0
1 0 187 856 0
2 0 443 687 0
3 0 462 831 0
4 1 311 717 0
5 1 418 0 0
6 1 518 0 0
7 1 618 120 0
8 1 618 0 0
9 1 618 252 0
10 1 443 617 90
11 1 443 476 90
12 2 245 856 0
13 2 448 372 0
14 2 718 600 0
15 2 245 617 90
16 3 0 938 0
17 3 19 254 0
18 3 443 687 0
19 3 0 438 90
20 3 0 254 90
21 3 0 0 90
22 3 71 280 90
23 3 448 181 90
24 4 126 566 0
25 4 126 476 0
26 4 126 938 0
27 4 158 342 0
28 4 158 280 0
29 4 200 414 0
30 4 200 566 0
31 4 266 280 0
32 4 266 687 0
33 4 266 218 0
34 4 373 0 0
35 4 573 174 0
