Time: 3601.29
Lx: 908 0.332588
Ly: 1000
Id TipoPieza x y ángulo
0 0 112 214 0
1 0 234 358 0
2 0 368 0 0
3 0 368 214 0
4 0 490 459 0
5 1 12 140 0
6 1 490 745 0
7 1 490 625 0
8 1 624 20 0
9 1 624 219 0
10 1 624 681 0
11 1 624 339 0
12 1 746 462 0
13 1 746 342 0
14 1 746 831 0
15 2 245 958 0
16 2 245 730 0
17 2 490 973 0
18 2 490 730 0
19 2 839 831 0
20 3 0 70 0
21 3 -3.63798e-12 140 0
22 3 184 70 0
23 3 184 140 0
24 3 184 214 0
25 3 440 214 0
26 3 724 70 0
27 3 724 140 0
28 3 724 280 0
29 3 724 210 0
30 4 549 906 0
31 4 615 938 0
32 4 615 848 0
33 4 677 910 0
34 4 701 844 0
35 4 863 690 0
36 4 863 876 0
37 4 863 814 0
38 4 863 752 0
39 4 863 628 0
40 4 863 280 0
41 4 863 938 0
42 4 863 475 0
43 4 863 565 0
44 4 863 385 0
