Time: 3601.05
Lx: 857 0.29287
Ly: 1000
Id TipoPieza x y ángulo
0 0 0 0 0
1 0 0 488 0
2 0 0 274 0
3 0 356 360 0
4 0 601 0 0
5 1 0 632 0
6 1 146 154 0
7 1 256 290 0
8 1 256 504 0
9 1 397 662 0
10 1 397 504 0
11 1 501 0 0
12 1 501 512 0
13 1 512 144 0
14 1 757 880 0
15 2 501 290 0
16 2 612 860 0
17 2 857 600 0
18 2 857 860 0
19 2 857 372 0
20 3 84 938 0
21 3 100 702 0
22 3 100 866 0
23 3 100 796 0
24 3 128 488 0
25 3 428 930 0
26 3 428 360 0
27 3 573 1000 0
28 3 642 244 0
29 3 643 830 0
30 4 17 752 0
31 4 17 842 0
32 4 17 144 0
33 4 39 212 0
34 4 39 910 0
35 4 101 150 0
36 4 101 938 0
37 4 322 828 0
38 4 322 0 0
39 4 322 92 0
40 4 322 664 0
41 4 322 938 0
42 4 322 766 0
43 4 364 890 0
44 4 406 938 0
