Time: 3600.92
Lx: 78.3333 0.490638
Ly: 40
Id TipoPieza x y ángulo
0 0 21 0 0
1 0 30.3333 10 0
2 0 30.3333 16.6667 0
3 0 31.3333 34.6667 0
4 0 31.3333 5 0
5 0 35 0 0
6 0 42.3333 28.6667 0
7 0 44.3333 11 0
8 0 48 23 0
9 0 49.3333 3 0
10 0 54.3333 18 0
11 0 56.3333 28 0
12 0 58.3333 13 0
13 0 58.3333 8 0
14 0 64.3333 3 0
15 1 0 33.6667 0
16 1 0 21.6667 0
17 1 0 8 0
18 1 7.33333 28.6667 0
19 1 15.3333 24.6667 0
20 1 19.1667 15.8333 0
21 1 31.3333 27.6667 0
22 2 9.66667 36 0
23 2 9.66667 15.3333 0
24 2 9.66667 10.3333 0
25 2 10 2 0
26 2 19.3333 32.6667 0
27 2 19.3333 7 0
28 2 23.3333 28.6667 0
29 2 43.3333 22 0
30 2 50.3333 36 0
31 3 37.3333 33.6667 0
32 3 45.3333 8 0
33 3 50.3333 10 0
34 3 51.3333 2 0
35 3 68.3333 26 0
36 3 68.3333 33 0
37 3 68.3333 20 0
38 3 72.3333 12 0
39 3 72.3333 24 0
40 3 72.3333 18 0
41 3 72.3333 30 0
42 3 72.3333 36 0
