Time: 3602.74
Lx: 117 0.658974
Ly: 40
Id TipoPieza x y ángulo
0 0 14 18 0
1 0 14 35 0
2 0 14 7 0
3 0 14 0 0
4 0 14 12 0
5 0 78 17 0
6 0 78 24 0
7 0 78 6 0
8 0 78 12 0
9 0 92 35 0
10 0 103 28 0
11 0 103 12 0
12 0 103 23 0
13 0 14 21 90
14 0 14 40 180
15 1 28.5 16.5 0
16 1 29 28 0
17 1 47 34 0
18 1 47 6 0
19 1 63 14 0
20 1 66 23 0
21 1 103 6 0
22 2 0 8 0
23 2 28 36 0
24 2 28 8 0
25 2 53 14 0
26 2 67 31 0
27 2 75 2 0
28 2 92 20 0
29 2 92 2 0
30 2 92 14 0
31 3 0 23 0
32 3 0 2 0
33 3 6 2 0
34 3 41 26 0
35 3 41 20 0
36 3 45 28 0
37 3 47 20 0
38 3 47 14 0
39 3 53 20 0
40 3 57 8 0
41 3 59 2 0
42 3 59 22 0
