Time: 3600.86
Lx: 56.8 0.507042
Ly: 40
Id TipoPieza x y ángulo
0 0 14 5.56569 0
1 0 14 35 0
2 0 14 0 0
3 0 28.4 0.165685 0
4 0 42.8 28.6 0
5 0 42.8 0 0
6 0 14 24.9314 180
7 1 0 28.3314 0
8 1 0 6 0
9 1 20.1657 16.9657 0
10 1 27.9029 11.5657 0
11 1 35.2686 19 0
12 1 40.4343 11.6 0
13 1 44.6343 22.2 0
14 2 0.6 15.5314 0
15 2 14.4 26.2 0
16 2 28.4 27.2627 0
17 2 28.4 21.6971 0
18 2 28.4 33.8971 0
19 2 40.0686 36 0
20 2 40.0686 27.2 0
21 3 7.6 10.9657 0
22 3 14.4 21.8 0
23 3 14.4 14.1657 0
24 3 14.4 32.6 0
25 3 20.8 32.6 0
26 3 50.8 13.8 0
27 3 50.8 7.4 0
