Time: 3600.49
Lx: 117 0.760684
Ly: 40
Id TipoPieza x y ángulo
0 0 70 34.2843 0
1 0 70 8 0
2 0 88 3.28427 0
3 0 88 17 0
4 0 88 26 0
5 0 88.9411 35 0
6 0 68 27.6274 180
7 1 0 14.8284 0
8 1 6.48528 26 0
9 1 8.82843 6 0
10 1 26.6716 7.67157 0
11 1 48.6569 8.31371 0
12 1 72 24.2843 0
13 1 105 10.9411 0
14 2 0 36 0
15 2 15 36 0
16 2 30 36 0
17 2 30 18 0
18 2 39 26 0
19 2 55 32 0
20 2 106 26 0
21 3 16.3137 16.1716 0
22 3 23.6569 28 0
23 3 40.6569 12 0
24 3 40.6569 2 0
25 3 45 36 0
26 3 60 14.6274 0
27 3 62 2 0
