Time: 3602.42
Lx: 59.75 0.457741
Ly: 40
Id TipoPieza x y ángulo
0 0 42 40 180
1 0 59.75 35 180
2 0 59.75 20 180
3 0 59.75 40 180
4 0 59.75 30 180
5 0 59.75 15 180
6 0 59.75 25 180
7 0 59.75 10 180
8 0 59.75 5 180
9 1 10.5 28 0
10 1 19.5 25 0
11 1 25.5 6.5 0
12 1 28 16.5 0
13 1 28 29 0
14 1 33.75 22.75 0
15 1 33.75 10.25 0
16 2 17 14 180
17 2 17 20 180
18 2 17 4 180
19 2 17 38 180
20 2 28 4 180
21 2 28 38 180
22 2 28 13 180
23 2 28 19 180
24 2 44 4 180
25 3 0 2 0
26 3 0 20 0
27 3 0 26 0
28 3 -1e-09 8 0
29 3 -1e-09 36 0
30 3 -1e-09 14 0
31 3 4 30 0
32 3 6 24 0
33 3 9 8 0
