Time: 3601.74
Lx: 19.1111 0.280523
Ly: 40
Id TipoPieza x y ángulo
0 0 12.1111 24.7778 0
1 0 12.1111 4.77778 0
2 1 1 20 0
3 1 1 8.60035e-09 0
4 2 1.21203e-08 10.2222 0
5 2 2.52004e-09 30.2222 0
6 3 11.8254 14.9206 0
7 3 13 0 0
8 3 15.1111 10.9206 0
9 3 15.1111 33 0
10 4 0.333333 6 0
11 4 1.16667 7 0
12 4 1.16667 8 0
13 4 2.55556 28.2222 0
14 5 3.66667 27.2222 0
15 5 12.0754 13.9206 0
16 5 13.0833 23.9167 0
17 5 15.1111 37 0
18 6 0 25.6667 0
19 6 3.52007e-09 9 0
20 6 16.0754 16.7222 0
21 6 16.0754 36 0
22 7 1 38 0
23 7 1 17.7222 0
24 7 11.1111 18 0
25 7 11.1111 38 0
