Time: 3600.99
Lx: 19.3333 0.288793
Ly: 40
Id TipoPieza x y ángulo
0 0 12.3333 4.33333 0
1 0 12.3333 33 0
2 1 1 10.6667 0
3 1 1 6.40047e-09 0
4 2 12 33.6667 180
5 2 16 25.6667 180
6 3 15.3333 30.4286 0
7 3 15.3333 25.6667 0
8 3 15.3333 1.7619 0
9 3 15.3333 10.4762 0
10 4 0 8.5 0
11 4 12 10.6667 180
12 4 12 40 180
13 4 19.3333 16.3333 180
14 5 0 9.5 0
15 5 0 39 0
16 5 12.6667 0 0
17 5 12.6667 29.4286 0
18 6 0 21 0
19 6 0 18 0
20 6 0 22 0
21 6 16.3333 39 0
22 7 1 34.6667 0
23 7 10 16.6667 0
24 7 10 39 180
25 7 10 8 180
