Time: 3600.19
Lx: 19.6393 0.299875
Ly: 40
Id TipoPieza x y ángulo
0 0 12.6393 0 0
1 0 17.6393 17.4637 180
2 1 18.6393 40 180
3 1 18.6393 32.6393 180
4 2 0 19.2295 0
5 2 0 4.36066 0
6 3 0 0 0
7 3 15.6393 7 0
8 3 15.6393 23.6393 0
9 3 5 29.6393 180
10 4 4.13934 0 0
11 4 4.13934 1 0
12 4 11.16 19.0295 0
13 4 11.6393 21.0295 0
14 5 4.27869 3 0
15 5 6.63934 15.8607 0
16 5 6.63934 2 0
17 5 15.3344 20.0295 0
18 6 0 16.8607 0
19 6 0 15.8607 0
20 6 3 17.2295 0
21 6 12.6393 7 0
22 7 1 13.8607 0
23 7 1 11.8607 0
24 7 6.6 17.0295 0
25 7 8 34.6393 180
