Time: 3601.21
Lx: 27.0097 0.236387
Ly: 40
Id TipoPieza x y ángulo
0 0 14.3885 32 0
1 0 18.6006 25.6017 0
2 0 18.6006 0.798701 0
3 1 15.0097 19.7987 0
4 1 15.0097 7.7987 0
5 1 15.0097 13.7987 0
6 2 0 32 0
7 2 2.00974 10.75 0
8 2 3 23.75 0
9 3 0 3 0
10 3 0 17.75 0
11 3 0 7.75 0
12 3 0 20.75 0
13 3 23.0097 34.7597 0
14 3 23.0097 31.7597 0
15 4 4 19.75 0
16 4 10 2 0
17 4 11.25 39 0
18 4 19.0097 38.7597 0
19 4 19.0097 37.7597 0
20 4 19.0097 0 0
21 5 4 18.75 0
22 5 4 0 0
23 5 4 6 0
24 5 4.5 30.75 0
25 5 4.5 17.75 0
26 5 4.5 5 0
27 6 0 6.75 0
28 6 0 30 0
29 6 0 23.75 0
30 6 0 28.5 0
31 6 0 27.5 0
32 6 0 0 0
33 7 1 1 0
34 7 6 3 0
35 7 6 7 0
36 7 6 20.75 0
37 7 9.60065 5 0
38 7 10 0 0
