Time: 3601.16
Lx: 30.9365 0.333312
Ly: 40
Id TipoPieza x y ángulo
0 0 10.9776 30.6119 0
1 0 23.9365 12.155 0
2 0 23.9365 26.6 0
3 1 18.9365 0 0
4 1 18.9365 34 0
5 1 18.9365 6.4 0
6 2 0 12.4693 0
7 2 5.85686 4.06935 0
8 2 11.8237 18.8238 0
9 3 0 2.8 0
10 3 0 23.9317 0
11 3 0 27.3317 0
12 3 0 7.97818 0
13 3 12.8 0 0
14 3 25.6159 19.555 0
15 4 0 20.1317 0
16 4 4.4 1.4 0
17 4 4.4 0 0
18 4 13.7831 15.5673 0
19 4 14.4012 27.1305 0
20 4 14.4012 12.9765 0
21 5 0 1.4 0
22 5 0 6.57818 0
23 5 0 39 0
24 5 0 0 0
25 5 13.5365 39 0
26 5 26.5365 25.2 0
27 6 4.4 23.9317 0
28 6 4.4 39 0
29 6 8.4237 39 0
30 6 8.4237 24.8238 0
31 6 24.4579 22.955 0
32 6 27.9365 23.8 0
33 7 1 31.0238 0
34 7 1 21.5317 0
35 7 1 36.6 0
36 7 1 34.2 0
37 7 6.00115 26.2238 0
38 7 7.88924 28.6238 0
