Time: 3602.72
Lx: 50 0.45
Ly: 40
Id TipoPieza x y ángulo
0 0 9 10 0
1 0 31 16 0
2 0 31 4 0
3 0 43 15 0
4 1 17 22 0
5 1 17 28 0
6 1 17 34 0
7 1 17 1 0
8 2 0 18 0
9 2 4 1 0
10 2 4 27 0
11 2 16 12 0
12 3 0 1 0
13 3 0 11 0
14 3 0 30 0
15 3 0 27 0
16 3 3 14 0
17 3 4 10 0
18 3 12 17 0
19 3 46 14 180
20 4 42 14 0
21 4 42 10 0
22 4 42 2 0
23 4 42 3 0
24 4 42 0 0
25 4 42 1 0
26 4 42 4 0
27 4 42 22.8571 180
28 5 0 4 0
29 5 29 39 0
30 5 38 24 0
31 5 38 39 0
32 5 38 9 0
33 5 38 23 0
34 5 38 1 0
35 5 38 0 0
36 6 0 10 0
37 6 0 0 0
38 6 0 8 0
39 6 0 6 0
40 6 0 9 0
41 6 0 5 0
42 6 13 9 0
43 6 21 8.33333 0
44 7 1 35 0
45 7 1 38 0
46 7 13 20 0
47 7 30 37 0
48 7 30 14 0
49 7 30 2 0
50 7 30 12 0
51 7 30 0 0
