Time: 3600.73
Lx: 157.923 0.658061
Ly: 40
Id TipoPieza x y ángulo
0 0 3.86692 24.7338 0
1 0 63.2003 15.7338 0
2 0 112.456 21.5556 0
3 0 121.923 31.7239 0
4 0 128.262 7.74443 0
5 0 130.923 29.7239 0
6 0 130.923 15.4681 0
7 0 139.923 3.73385 0
8 1 41.7273 19.5556 0
9 1 46 30.3333 0
10 1 46.3854 9 0
11 1 46.3854 2 0
12 1 59.2003 1.55556 0
13 1 95.0891 3 0
14 1 95.178 23 0
15 1 95.178 29 0
16 2 24 30 0
17 2 70.2003 4.55556 0
18 2 82.0891 1 0
19 2 82.0891 13.5556 0
20 2 94.178 11 0
21 2 108.035 13.5556 0
22 2 108.035 3 0
23 2 108.178 32 0
24 3 0 21.7338 0
25 3 0 8.14646 0
26 3 0 5 0
27 3 0 0 0
28 3 0 15 0
29 3 0 32 0
30 3 0 37 0
31 3 0 18.7338 0
32 3 4 9 0
33 3 4 5.14646 0
34 3 4 31.7338 0
35 3 4 2 0
36 3 4 12 0
37 3 8 9 0
38 3 8 15.8507 0
39 4 130.262 23.4681 0
40 4 133.923 0 0
41 4 141.923 0 0
42 4 146.923 14.5556 0
43 4 146.923 15.5556 0
44 4 146.923 5 0
45 4 146.923 25.7338 0
46 4 149.923 26.7338 0
47 4 149.923 9.55556 0
48 4 149.923 24.7338 0
49 4 149.923 1 0
50 4 149.923 0 0
51 4 149.923 8.55556 0
52 4 149.923 17.8507 0
53 4 149.923 23.7338 0
54 5 8 22.7338 0
55 5 8 7.14646 0
56 5 8 23.7338 0
57 5 10.8669 34 0
58 5 10.8669 30.8669 0
59 5 10.8669 35 0
60 5 12 37 0
61 5 15 8 0
62 5 19 22.7338 0
63 5 23 24.6465 0
64 5 126.262 39 0
65 5 137.923 38 0
66 5 137.923 22.4681 0
67 5 142.923 29.5556 0
68 5 150.745 31.5556 0
69 6 12 18.8507 0
70 6 14.8669 21.5556 0
71 6 15 23.6465 0
72 6 15 27.2338 0
73 6 15.0714 36 0
74 6 15.5 26.2338 0
75 6 25 1 0
76 6 105.035 19.7143 0
77 6 112.035 39 0
78 6 140.289 30.5556 0
79 6 140.289 17.8507 0
80 6 141.923 28.5556 0
81 6 151.101 22.7338 0
82 6 152.478 13.5556 0
83 6 154.923 29.5556 0
84 7 16 38 0
85 7 19.0714 26.091 0
86 7 28 15.5556 0
87 7 28 13.5556 0
88 7 37 14.5556 0
89 7 37 25.6465 0
90 7 37 17.5556 0
91 7 37 35 0
92 7 37.3854 6 0
93 7 46 37.7863 0
94 7 54.9134 22.1602 0
95 7 63.9134 13.5556 0
96 7 118.262 28.9437 0
97 7 118.262 0 0
98 7 142.923 21.7338 0
