Time: 3601.78
Lx: 294 0.259171
Ly: 79
Id TipoPieza x y ángulo
0 0 120 10 0
1 0 120 64 0
2 0 120 26 0
3 0 179 66 0
4 0 235 45 0
5 0 235 29 0
6 0 235 13 0
7 0 235 61 0
8 1 0 37.75 0
9 1 0 68 0
10 1 56 79 0
11 1 64 57 0
12 1 64 33 0
13 1 123 61 0
14 1 179 29 0
15 1 179 51 0
16 2 208 2 0
17 3 133 2 0
18 4 13.8786 37.75 0
19 5 238 74 0
20 6 34.1286 13.75 0
21 6 120 39 0
22 6 144 0 0
23 6 165 0 0
24 6 187 2 0
25 6 208 0 0
26 6 244 0 0
27 6 265 0 0
28 7 19.0294 8.75 0
29 7 23.7169 4 0
30 7 46.5 42.75 0
31 7 57.8786 35.2357 0
32 7 77 0 0
33 7 78 33 0
34 7 78 8.92308 0
35 7 92 4 0
36 8 13 15.75 0
37 9 179 7 0
38 10 16.4081 0 0
39 11 120 0 0
40 12 0 18.3056 0
41 12 50.7169 0 0
42 13 0 0 0
43 13 223 51 0
44 14 6 37.75 0
45 14 13.0294 4.48529 0
46 14 37.75 68 0
47 14 44.7169 0 0
48 14 49.75 68 0
49 14 72 2 0
50 14 114 -9.99997e-10 0
51 14 118 68 0
52 15 56 7.23571 0
53 15 56 17.2357 0
54 15 56 27.2357 0
55 15 112 59 0
56 15 192.45 53 0
57 15 200.45 55 0
58 15 208 53.2 0
59 15 286 2 0
60 16 3 11.3056 0
61 16 17.9286 44.7857 0
62 16 17.9286 72 0
63 16 60.8786 50 0
