Time: 3608.64
Lx: 376.231 0.42109
Ly: 79
Id TipoPieza x y ángulo
0 0 143.231 66 0
1 0 143.231 50 0
2 0 258.231 64 0
3 0 258.231 3 0
4 0 258.231 34 0
5 0 317.231 34 0
6 0 317.231 66 0
7 0 317.231 50 0
8 1 17.25 47.4717 0
9 1 77.2311 51.4717 0
10 1 77.2311 29.4717 0
11 1 87.2311 73.4717 0
12 1 146.231 45 0
13 1 202.231 57 0
14 1 202.231 79 0
15 1 202.231 35 0
16 2 148.231 12 0
17 3 146.525 0 0
18 4 33.2311 19 0
19 5 133.231 7 0
20 6 40.25 0 0
21 6 49.8471 14 0
22 6 49.8471 66.192 0
23 6 49.8471 16 0
24 6 92.2311 77 0
25 6 92.2311 5 0
26 6 111.525 0 0
27 6 133.231 45 0
28 7 25.25 0 0
29 7 31.25 23.4717 0
30 7 31.25 12 0
31 7 35.8192 60.7339 0
32 7 61.25 0.471698 0
33 7 61.25 52.4717 0
34 7 77.2311 72 0
35 7 133.231 21 0
36 8 46.25 10 0
37 9 132.525 0 0
38 10 17.311 52.192 0
39 11 18.25 18 0
40 12 46.7032 47.4717 0
41 12 133.231 17 0
42 13 31.25 7 0
43 13 65.2311 47.4717 0
44 14 6 6.272 0
45 14 14 20 0
46 14 20.184 57.6285 0
47 14 25.25 7 0
48 14 25.441 68 0
49 14 37.311 67.4798 0
50 14 37.311 49.065 0
51 14 71.2311 68 0
52 15 0 19.272 0
53 15 0 71 0
54 15 0.704 36.272 0
55 15 6.184 58.192 0
56 15 8.57199 2 0
57 15 8.57199 33.6288 0
58 15 8.98 44.192 0
59 15 368.231 2 0
60 16 3 51.272 0
61 16 3 27.272 0
62 16 3 44.272 0
63 16 4.51467 58.5147 0
