Time: 3600.43
Lx: 353.234 0.383401
Ly: 79
Id TipoPieza x y ángulo
0 0 65.0742 6.18939 0
1 0 100.502 49.1463 0
2 0 124.864 11.9989 0
3 0 124.864 66 0
4 0 124.864 28.7889 0
5 0 237.444 54.3897 0
6 0 238.444 37.5997 0
7 0 294.234 31.3605 0
8 1 0 78.6289 0
9 1 0 49.7376 0
10 1 68.0742 45.3563 0
11 1 160.292 59.4128 0
12 1 184.654 36.6228 0
13 1 184.654 78.6289 0
14 1 260.525 27.5705 0
15 1 297.234 68.21 0
16 2 145.136 3.20886 0
17 3 15.79 13.6872 0
18 4 249.444 28.8097 0
19 5 99.327 0.418856 0
20 6 211.716 0.418856 0
21 6 211.716 8.20886 0
22 6 233.506 5.41886 0
23 6 233.506 11.4444 0
24 6 233.506 0.418856 0
25 6 233.506 14.2344 0
26 6 255.296 0.418856 0
27 6 255.715 8.97667 0
28 7 0 26.4983 0
29 7 0 50.5276 0
30 7 0 0.418856 0
31 7 0 7.21119 0
32 7 24.436 4.15222 0
33 7 24.436 50.5276 0
34 7 49.2842 0.418856 0
35 7 72.3954 60.2635 0
36 8 0 14.1574 0
37 9 70.5217 19.9794 0
38 10 255.296 3.20886 0
39 11 32.2519 0.418856 0
40 12 13.8262 19.4772 0
41 12 184.654 8.99886 0
42 13 46.0419 53.2666 0
43 13 46.0419 7.89722 0
44 14 62.79 65.0566 0
45 14 62.79 41.4766 0
46 14 64.8319 53.2666 0
47 14 64.8319 19.4772 0
48 14 84.6696 68 0
49 14 84.6696 46.1463 0
50 14 95.6818 54.5234 0
51 14 97.4839 68 0
52 15 202.926 8.05326 0
53 15 277.505 2 0
54 15 317.315 20.2903 0
55 15 321.556 71 0
56 15 321.556 2 0
57 15 330.346 2 0
58 15 345.234 2 0
59 15 345.234 13.2509 0
60 16 3 18.9474 0
61 16 20.6746 4.37347 0
62 16 55.1842 24.2672 0
63 16 342.136 10.79 0
